CNT_d_nm,CNT_l_nm,CNT_wt_pct,CNT_vol_frac,Al_particle_size_um,Al_wt_pct,ISS_MPa,Sinter_T_K,Porosity_pct,sigma_y_MPa,Hardness_GPa,sigma_UTS_MPa
20.0,367.670250896057,4.72972972972973,0.06,8.245484748342804,95.2702702702703,46.5,835.1,1.8076923076923075,180.952380952381,0.7732,190.0
20.0,187.5678089591662,1.24888492417484,0.016,24.022680160614136,98.7511150758252,60.98692307692308,783.7666666666667,2.7948717948717947,81.5858244629996,0.3486,128.0
20.0,169.8868626941785,1.24888492417484,0.016,26.4752530443911,98.7511150758252,54.70384615384616,779.1,2.8846153846153846,70.7502071515074,0.3023,111.0
20.0,360.277777777778,2.50671441360788,0.032,18.45134170824627,97.4932855863921,45.0,795.7666666666667,2.551282051282051,101.60076017835,0.4341,139.0
20.0,1614.20289855072,0.233488992661775,0.003,26.845491331291075,99.7665110073382,46.0,853.1,2.8974358974358974,65.817961375249,0.2812,114.0
20.0,5263.90243902439,0.155624722098711,0.002,26.110120880802285,99.8443752779013,41.0,779.7666666666667,2.871794871794872,71.6496618135962,0.3062,125.0
20.0,1427.40740740741,1.17056856187291,0.015,15.837416652102762,98.8294314381271,45.0,803.7666666666667,2.41025641025641,116.981251383224,0.4999,185.0
20.0,837.777777777778,1.95530726256983,0.025,13.97665378112913,98.0446927374302,45.0,809.7666666666667,2.2948717948717947,125.004292729833,0.5341,182.0
20.0,546.315789473684,7.54824063564132,0.095,20.619486692060736,92.4517593643587,14.0,791.1,2.653846153846154,93.3333333333333,0.3988,98.0
20.0,1175.01519756839,0.545292677498331,0.007,24.69925953044186,99.4547073225017,47.0,782.4333333333334,2.8205128205128207,78.4850016351042,0.3354,132.0
20.0,828.823529411765,0.779510022271715,0.01,27.601572896137426,99.2204899777283,34.0,773.1,2.923076923076923,58.0829582775818,0.2482,95.5
20.0,232.619047619048,2.5,0.0319148936170213,6.421757811076454,97.5,140.0,873.1,1.576923076923077,225.094348056526,0.9618,375.0
20.0,402.714285714286,2.5,0.0319148936170213,3.841476186172269,97.5,140.0,873.1,1.1025641025641026,270.713469262648,1.1568,451.0
20.0,276.286266924565,1.71951764180438,0.022,3.7362477871570965,98.2804823581956,188.0,873.1,1.0769230769230769,274.938395546226,1.1748,482.0
20.0,562.194092827004,3.1390134529148,0.04,3.076085125501074,96.8609865470852,118.5,773.1,0.8974358974358974,309.737287604239,1.3235,494.0
20.0,490.873786407767,3.1390134529148,0.04,2.603895211574552,96.8609865470852,154.5,773.1,0.7435897435897436,376.19913474199,1.6075,600.0
20.0,750.1315492353342,1.17056856187291,0.015,6.6949545693319825,98.8294314381271,200.0,833.1,1.6153846153846154,216.019618108175,0.9231,392.0
20.0,520.6914297545809,3.53535353535354,0.045,7.586278278179108,96.4646464646465,200.0,833.1,1.7307692307692308,192.140301105774,0.821,298.0
20.0,211.846522781775,1.17056856187291,0.015,4.4755019920337995,98.8294314381271,200.0,833.1,1.2435897435897436,262.86060672857,1.1232,477.0
20.0,280.162601626016,1.17056856187291,0.015,3.949668257992375,98.8294314381271,200.0,833.1,1.1282051282051282,270.024522635219,1.1538,490.0
20.0,297.777777777778,3.53535353535354,0.045,2.3626796591718393,96.4646464646465,200.0,833.1,0.6538461538461539,419.097972210581,1.7908,650.0
20.0,286.666666666667,3.53535353535354,0.045,2.3957201165392723,96.4646464646465,200.0,833.1,0.6666666666666666,412.650311099649,1.7633,640.0
20.0,100.0,3.53535353535354,0.045,3.1627205767426942,96.4646464646465,200.0,833.1,0.9230769230769229,303.040072213805,1.2949,470.0
20.0,499.166666666667,1.17056856187291,0.015,3.58378509709398,98.8294314381271,192.0,875.1,1.0384615384615385,287.658777174662,1.2292,522.0
